"Fecha aplicación","Año","Cod_Territorio","Nom_Territorio","Cantidad_dosis_aplicadas","fecha_corte"
"2021-02-17","2021","23","Córdoba","6","2023-02-28"
"2021-02-17","2021","70","Sucre","12","2023-02-28"
"2021-02-18","2021","05","Antioquia","1.019","2023-02-28"
"2021-02-18","2021","08001","Barranquilla","631","2023-02-28"
"2021-02-18","2021","11","Bogotá","5.486","2023-02-28"
"2021-02-18","2021","13001","Cartagena","79","2023-02-28"
"2021-02-18","2021","23","Córdoba","188","2023-02-28"
"2021-02-18","2021","25","Cundinamarca","1.199","2023-02-28"
"2021-02-18","2021","68","Santander","185","2023-02-28"
"2021-02-18","2021","70","Sucre","114","2023-02-28"
"2021-02-18","2021","76","Valle del Cauca","328","2023-02-28"
"2021-02-19","2021","05","Antioquia","1.196","2023-02-28"
"2021-02-19","2021","08","Atlántico","85","2023-02-28"
"2021-02-19","2021","08001","Barranquilla","531","2023-02-28"
"2021-02-19","2021","11","Bogotá","6.990","2023-02-28"
"2021-02-19","2021","13","Bolívar","282","2023-02-28"
"2021-02-19","2021","13001","Cartagena","198","2023-02-28"
"2021-02-19","2021","17","Caldas","638","2023-02-28"
"2021-02-19","2021","20","Cesar","236","2023-02-28"
"2021-02-19","2021","23","Córdoba","649","2023-02-28"
"2021-02-19","2021","25","Cundinamarca","570","2023-02-28"
"2021-02-19","2021","47","Magdalena","210","2023-02-28"
"2021-02-19","2021","47001","Santa Marta","492","2023-02-28"
"2021-02-19","2021","54","Norte de Santander","168","2023-02-28"
"2021-02-19","2021","63","Quindío","95","2023-02-28"
"2021-02-19","2021","66","Risaralda","453","2023-02-28"
"2021-02-19","2021","68","Santander","638","2023-02-28"
"2021-02-19","2021","70","Sucre","328","2023-02-28"
"2021-02-19","2021","76","Valle del Cauca","1.470","2023-02-28"
"2021-02-20","2021","05","Antioquia","1.492","2023-02-28"
"2021-02-20","2021","08","Atlántico","203","2023-02-28"
"2021-02-20","2021","08001","Barranquilla","465","2023-02-28"
"2021-02-20","2021","11","Bogotá","90","2023-02-28"
"2021-02-20","2021","13001","Cartagena","197","2023-02-28"
"2021-02-20","2021","15","Boyacá","676","2023-02-28"
"2021-02-20","2021","17","Caldas","344","2023-02-28"
"2021-02-20","2021","19","Cauca","666","2023-02-28"
"2021-02-20","2021","20","Cesar","294","2023-02-28"
"2021-02-20","2021","23","Córdoba","488","2023-02-28"
"2021-02-20","2021","41","Huila","214","2023-02-28"
"2021-02-20","2021","47001","Santa Marta","228","2023-02-28"
"2021-02-20","2021","52","Nariño","474","2023-02-28"
"2021-02-20","2021","54","Norte de Santander","496","2023-02-28"
"2021-02-20","2021","63","Quindío","156","2023-02-28"
"2021-02-20","2021","66","Risaralda","311","2023-02-28"
"2021-02-20","2021","68","Santander","499","2023-02-28"
"2021-02-20","2021","70","Sucre","168","2023-02-28"
"2021-02-20","2021","73","Tolima","594","2023-02-28"
"2021-02-20","2021","76","Valle del Cauca","1.637","2023-02-28"
"2021-02-20","2021","76109","Buenaventura","78","2023-02-28"
"2021-02-21","2021","05","Antioquia","2.028","2023-02-28"
"2021-02-21","2021","08","Atlántico","270","2023-02-28"
"2021-02-21","2021","08001","Barranquilla","218","2023-02-28"
"2021-02-21","2021","13001","Cartagena","108","2023-02-28"
"2021-02-21","2021","15","Boyacá","396","2023-02-28"
"2021-02-21","2021","20","Cesar","217","2023-02-28"
"2021-02-21","2021","41","Huila","102","2023-02-28"
"2021-02-21","2021","52","Nariño","482","2023-02-28"
"2021-02-21","2021","54","Norte de Santander","307","2023-02-28"
"2021-02-21","2021","63","Quindío","168","2023-02-28"
"2021-02-21","2021","66","Risaralda","96","2023-02-28"
"2021-02-21","2021","68","Santander","579","2023-02-28"
"2021-02-21","2021","73","Tolima","492","2023-02-28"
"2021-02-21","2021","76","Valle del Cauca","692","2023-02-28"
"2021-02-22","2021","05","Antioquia","735","2023-02-28"
"2021-02-22","2021","81","Arauca","120","2023-02-28"
"2021-02-22","2021","08001","Barranquilla","613","2023-02-28"
"2021-02-22","2021","13001","Cartagena","301","2023-02-28"
"2021-02-22","2021","18","Caquetá","149","2023-02-28"
"2021-02-22","2021","85","Casanare","24","2023-02-28"
"2021-02-22","2021","20","Cesar","101","2023-02-28"
"2021-02-22","2021","27","Chocó","144","2023-02-28"
"2021-02-22","2021","41","Huila","271","2023-02-28"
"2021-02-22","2021","50","Meta","348","2023-02-28"
"2021-02-22","2021","52","Nariño","447","2023-02-28"
"2021-02-22","2021","54","Norte de Santander","197","2023-02-28"
"2021-02-22","2021","86","Putumayo","66","2023-02-28"
"2021-02-22","2021","63","Quindío","116","2023-02-28"
"2021-02-22","2021","66","Risaralda","48","2023-02-28"
"2021-02-22","2021","68","Santander","468","2023-02-28"
"2021-02-22","2021","70","Sucre","72","2023-02-28"
"2021-02-22","2021","73","Tolima","257","2023-02-28"
"2021-02-22","2021","76","Valle del Cauca","928","2023-02-28"
"2021-02-23","2021","05","Antioquia","100","2023-02-28"
"2021-02-23","2021","08001","Barranquilla","66","2023-02-28"
"2021-02-23","2021","11","Bogotá","10","2023-02-28"
"2021-02-23","2021","13001","Cartagena","337","2023-02-28"
"2021-02-23","2021","18","Caquetá","96","2023-02-28"
"2021-02-23","2021","85","Casanare","174","2023-02-28"
"2021-02-23","2021","20","Cesar","48","2023-02-28"
"2021-02-23","2021","94","Guainía","20","2023-02-28"
"2021-02-23","2021","95","Guaviare","79","2023-02-28"
"2021-02-23","2021","41","Huila","338","2023-02-28"
"2021-02-23","2021","50","Meta","402","2023-02-28"
"2021-02-23","2021","52","Nariño","219","2023-02-28"
"2021-02-23","2021","54","Norte de Santander","162","2023-02-28"
